original_index,Country,Avg Temp over Time r-value,Avg Temp over Time p-value,Wine Production & Avg Temp r-value,Wine Production & Avg Temp p-value,Wine Production over Time r-value,Wine Production over Time p-value
42,Montenegro,0.6524040328558216,0.0795251822804978,-0.004989559625500961,0.9906447309742832,0.04660174405030495,0.9127481550568171
43,Morocco,0.701228299062774,4.9849728318758765e-09,-0.4266394395763666,0.001444123525765529,-0.778076505775207,7.107745227828943e-12
44,New Zealand,0.37192351328344725,0.00610275521130043,0.297202338460843,0.03068247687396709,0.8185353565713965,7.098065540003258e-14
45,Norway,0.61541463336956,0.38458536663043996,,,,
46,Panama,0.6860035968641325,1.4367475764648508e-08,-0.34319295875840494,0.011875297856510316,-0.3942334694570182,0.0034898352646522486
47,Paraguay,0.32165316723360454,0.01884292605329516,-0.18239606020724275,0.1911458591312697,-0.4960610205295858,0.00015849749594355154
48,Peru,0.40365492768083105,0.002724282450425685,0.12160368025881468,0.3857209040584279,0.772608908140779,1.2303972891024794e-11
49,Portugal,0.6584143077633273,8.390790633965512e-08,-0.4097190570956858,0.002314094938369857,-0.6673517264277552,4.8339809901218045e-08
50,Reunion,0.7279206279179684,9.918966501833269e-09,-0.6123119705478828,6.119263908275585e-06,-0.8040873144235379,1.7000547824360242e-11
51,Romania,0.5413670087467264,2.841451268281458e-05,-0.35027298979573296,0.010133390358672813,-0.3051941146261197,0.026271272270539724
52,Russia,0.5416082130980477,0.009230249680449446,0.36237413726313694,0.09744730444503213,0.775406465483043,2.244509920572759e-05
53,Serbia,0.476494579271616,0.23259474141950084,0.21402720998046798,0.6107856715517019,0.891787783990038,0.0029163429070698465
54,Slovakia,0.44140365221162114,0.045162439481617245,-0.42250346484396184,0.05638415690174392,-0.8791441407874654,1.5525982843097088e-07
55,Slovenia,0.3489376634370215,0.11146925712986509,-0.22035328473853796,0.32442726601416455,-0.8998186501971086,1.208649840214579e-08
56,South Africa,0.4746830295621855,0.0003291938284072335,0.39467634900893867,0.0034499894971848403,0.9273327781730656,2.0323334826839796e-23
57,Spain,0.6782874338768253,2.398757499604861e-08,0.264402839752905,0.05572462042023687,0.4584789108579055,0.0005553887563649617
58,Switzerland,0.6808432178754311,2.0276620753451336e-08,0.40939539568294003,0.002334515660818497,0.42149630437055097,0.0016709476529409523
59,Syria,0.604247539046363,8.72316899424678e-06,-0.4027361002126209,0.005521855862973473,-0.1933833057782744,0.1978542933724052
60,Tajikistan,0.5202206531249839,0.013068300883509331,-0.6140399574433857,0.002366165108066606,-0.9063305948743379,6.3455940220883195e-09
61,Tunisia,0.8005593476990065,6.255915225321392e-13,-0.556478972084858,1.5129786465802827e-05,-0.8176400533169119,7.955009455905624e-14
62,Turkey,0.41595230370260317,0.0019505758837852012,0.043103948338127085,0.7592534639971491,-0.3174136534189694,0.020561055525912475
63,Turkmenistan,0.5680899057268979,0.0058124389224305925,0.6081864037753191,0.0026731689098902825,0.544352828323897,0.008813201444559934
64,Ukraine,0.664282176830246,0.0007469912006452621,0.20799140803827024,0.35297487928117566,0.5063124657378678,0.016198431949666133
65,United Kingdom,0.4917123585769222,0.003658061236418508,0.43189988569845555,0.01207712752170941,0.2303144605392214,0.19723890945045025
66,United States,0.733238543030643,4.275778940705198e-10,0.7313213875559512,5.001806160619367e-10,0.9536591258569187,2.9144242973756037e-28
67,Uruguay,0.4797294434564852,0.0002782187807792813,0.0974061768280509,0.487763074781588,0.21107279512286137,0.12923089344412747
68,Uzbekistan,0.529770875433571,0.011219263042379999,-0.3403425581989456,0.12117624942004905,-0.812333209498129,4.393748528879042e-06
69,Vietnam,0.4351723646359231,0.5648276353640769,-0.4553317154482956,0.5446682845517044,-0.6149437759115797,0.38505622408842033
70,Zimbabwe,0.30793122738730905,0.05323208811331574,0.36627553158195447,0.020098540069230467,0.8021514457572955,4.891736958796171e-10
